env_type,robot_x,robot_y,robot_theta,has_expert_label,expert_confidence,ctrlnums,controlGraph,robot_positions,corridor_width,front_clearance,left_clearance,right_clearance,obstacle_density,sector_0_min,sector_1_min,sector_2_min,sector_3_min,sector_4_min,sector_5_min,sector_6_min,sector_7_min,sector_0_avg,sector_1_avg,sector_2_avg,sector_3_avg,sector_4_avg,sector_5_avg,sector_6_avg,sector_7_avg
open_space,12.5,-7.4,2.20484,0,0,3,,,17.3,7.2,7.2,10,0,8.9,10,10,10,7.3,7.2,7.3,7.2,9.44444,10,10,10,8.24857,7.61333,8.49318,7.61333
open_space,4.5,-18,5.20243,1,1,3,0|1|1；0|0|0；0|0|0,0|0；-0.5|0.5；-0.5|-0.5,7.5,1.7,1.8,5.7,0.308333,1.9,5.7,10,9.4,4.5,3.7,1.8,1.7,2.94,7.375,10,9.55,5.98667,4.33778,2.35333,1.74667
open_space,4.7,-18.3,4.7126,0,0,3,,,4,1.4,2,2,0.347222,1.4,2,10,10,6.5,4.5,2,1.4,1.55556,3.82895,10,10,7.86111,5.05778,3.53111,1.56889
open_space,14.1,-14.5,5.3793,0,0,3,,,10.8,5.2,5.2,5.6,0,5.7,5.6,7.1,10,10,8.6,5.2,5.2,6.48,5.97333,8.33684,10,10,9.25714,6.26444,5.54889
open_space,1,-10.3,1.9015,1,1,3,0|1|1；0|0|0；0|0|0,0|0；-0.5|0.5；-0.5|-0.5,10.8,0.9,10,0.8,0.416667,0.9,0.8,0.8,1.8,9.9,10,10,2.5,1.32889,0.813333,1.11556,6.59333,9.95,10,10,4.44286
open_space,5.3,-7.2,3.49524,0,0,3,,,15.7,5.1,5.7,10,0,5.4,10,10,10,7.8,7,5.7,5.1,6.97,10,10,10,8.70952,7.18889,7.20889,5.23778
open_space,5.5,-8.8,2.10785,0,0,3,,,14.2,5.5,8.9,5.3,0,5.5,5.3,6.2,10,10,10,8.9,8.6,7.04222,5.49111,7.60714,10,10,10,9.40588,8.91778
open_space,7.9,-15.3,5.7391,1,1,3,0|1|1；0|0|0；0|0|0,0|0；-0.5|0.5；-0.5|-0.5,14.4,4.5,4.4,10,0,8.5,10,10,9.1,7.7,5.2,4.4,4.5,9.16667,10,10,9.4875,8.01333,7.17111,4.57778,5.72444
open_space,13.3,-5.1,4.79775,0,0,3,,,16.4,8.5,7.6,6.4,0,8.5,6.4,6.4,4.9,4.9,7.6,10,10,9.17,6.94667,7.01778,5.32,5.71333,8.66667,10,10
open_space,14.4,-9.4,4.77588,1,1,3,0|1|1；0|0|0；0|0|0,0|0；-0.5|0.5；-0.5|-0.5,15.3,7.2,10,5.3,0,7.2,5.3,5.3,8,9.2,10,10,10,8.30625,5.8,6.11111,9.28378,9.52857,10,10,10
open_space,15.5,-0.7,3.61567,1,1,3,0|1|1；0|0|0；0|0|0,0|0；-0.5|0.5；-0.5|-0.5,10.1,1.5,0.5,4.4,0.45,10,9.5,4.4,1.1,0.5,0.5,0.6,1.5,10,9.65,5.93333,3.18889,0.684444,0.502222,0.822222,3.36875
open_space,5.7,-8.4,1.00845,0,0,3,,,16.6,8.2,10,5.5,0,8.2,6.6,5.5,5.6,10,10,10,9.8,8.56667,8.39111,5.74444,7.06,10,10,10,9.9
open_space,11.1,-19.1,4.48788,1,1,3,0|1|1；0|0|0；0|0|0,0|0；1|0；2|0,1.8,0.6,1.1,0.7,0.438889,0.6,0.7,2.5,10,10,10,1.1,0.6,0.617778,1.14222,7.99333,10,10,10,2.50714,0.766667
open_space,8.4,-9.9,2.32411,1,1,3,0|1|1；0|0|0；0|0|0,0|0；-0.5|0.5；-0.5|-0.5,17.9,8.2,9.7,8.2,0,8.2,8.2,9.8,9.8,10,10,9.7,9.7,8.80909,8.75,9.9,9.86667,10,10,9.83077,9.80556
open_space,12.4,-9.6,4.18435,1,1,3,0|1|1；0|0|0；0|0|0,0|0；-0.5|0.5；-0.5|-0.5,18.5,10,9.7,7.3,0,10,8.5,7.3,7.5,9.4,9.7,10,10,10,9.18462,7.57778,8.46897,9.56286,9.87143,10,10
open_space,6.1,-10.3,1.17842,1,1,3,0|1|1；0|0|0；0|0|0,0|0；-0.5|0.5；-0.5|-0.5,16.4,10,10,5.9,0,10,6.4,5.9,6.4,9.4,10,10,10,10,7.73226,6.05778,7.70625,9.61905,10,10,10
open_space,0.4,-8.4,3.57827,0,0,3,,,0.7,0.2,0.2,0.5,0.486111,0.2,0.5,10,10,8.8,0.4,0.2,0.2,0.288889,1.61,10,10,9.33333,4.64667,0.264444,0.2
open_space,4,-13.5,0.0235359,0,0,3,,,16.2,9,5.5,5.3,0,10,10,5.3,3.8,3.8,5.5,6.2,9,10,10,7.06667,4.22889,4.28444,6.44,7.00222,9.41667
open_space,16.6,-16.2,3.09004,1,1,3,0|1|1；0|0|0；0|0|0,0|0；-0.5|0.5；-0.5|-0.5,13.5,5.3,4.2,3.5,0,5.3,3.5,3.5,3.1,3.1,4.2,10,10,7,4.04444,3.82222,3.57778,3.38,6.11613,10,10
open_space,3.7,-15.7,5.77991,1,1,3,0|1|1；0|0|0；0|0|0,0|0；-0.5|0.5；-0.5|-0.5,14,4.2,3.6,10,0,8.2,10,10,4,3.5,3.6,4,4.2,8.98333,10,10,5.815,3.62,4.41333,4.13333,5.40222
open_space,17.4,-15.2,4.61119,1,1,3,0|1|1；0|0|0；0|0|0,0|0；-0.5|0.5；-0.5|-0.5,9.5,3.7,7.2,2.3,0.216667,3.7,2.3,2.3,3,10,10,7.2,4.5,4.54222,2.72889,2.46444,4.84737,10,10,8.38333,5.35333
open_space,6.8,-2.6,2.26906,1,1,3,0|1|1；0|0|0；0|0|0,0|0；-0.5|0.5；-0.5|-0.5,9,2.4,2.4,6.6,0.197222,3.1,6.6,8.6,10,10,3.8,2.4,2.4,5.16444,7.11778,9.27,10,10,5.8,2.82889,2.58667
open_space,13.7,-13.9,2.16527,0,0,3,,,17.2,10,6,5.9,0,10,10,5.9,5.8,6.1,6,7.2,10,10,10,7.22093,6.07778,7.10222,6.28444,8.375,10
open_space,16.2,-14.2,0.523263,0,0,3,,,13.6,3.5,3.6,10,0,4,10,10,10,5.7,5.5,3.6,3.5,5.835,10,10,10,7.1122,5.68889,4.68667,3.62
open_space,19.5,-8.7,0.522611,0,0,3,,,0.8,0.2,0.2,0.6,0.483333,0.2,0.6,9.8,10,10,0.4,0.2,0.2,0.322222,6.56222,9.9,10,10,1.26207,0.244444,0.2
open_space,6.7,-15.4,2.45671,1,1,3,0|1|1；0|0|0；0|0|0,0|0；-0.5|0.5；-0.5|-0.5,15.6,6.5,10,4.3,0,6.5,5.6,4.3,4.3,6.8,10,10,8.5,7.02222,6.79778,4.64222,5.05778,8.15333,10,10,9.17
open_space,11.4,-11.8,5.64581,0,0,3,,,16.3,8,7.9,8.4,0,8.3,8.4,10,10,10,9.9,7.9,8,8.73333,8.97692,10,10,10,9.9,8.40889,8.71667
open_space,16.1,-17.2,1.799,0,0,3,,,13.7,6.8,3.6,3,0.180556,10,10,3,2.5,2.6,3.6,3.7,6.8,10,10,4.80698,2.60222,3.20444,3.75333,4.63778,8.18333
